Timestamp,Level,Image_Path,Rel_Group,Rel_Type,Prompt,Ground_Truth,Model_Prediction,Result
2025-12-22 18:48:15,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,PRIMARY,right_of,Is the cyan circle to the right of the lime circle?,yes,yes,CORRECT
2025-12-22 18:48:15,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,PRIMARY,left_of,Is the lime circle left of the cyan circle?,yes,yes,CORRECT
2025-12-22 18:48:16,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,PRIMARY,right_of,Is the cyan circle right of the lime circle?,yes,yes,CORRECT
2025-12-22 18:48:16,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,ADVANCED,overlapping,Is the cyan circle overlapping with the lime circle?,no,yes,INCORRECT
2025-12-22 18:48:16,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,PRIMARY,above,Is the cyan circle above the lime circle?,no,yes,INCORRECT
2025-12-22 18:48:16,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,ADVANCED,touching,Is the lime circle touching the cyan circle?,no,yes,INCORRECT
2025-12-22 18:48:17,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,ADVANCED,overlapping,Is the cyan circle partially covering the lime circle?,no,yes,INCORRECT
2025-12-22 18:48:17,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00007_w.png,PRIMARY,below,Is the cyan circle below the lime circle?,no,yes,INCORRECT
2025-12-22 18:48:17,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00016_w.png,PRIMARY,right_of,Is the purple star to the right of the blue square?,yes,yes,CORRECT
2025-12-22 18:48:17,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00016_w.png,PRIMARY,left_of,Is the blue square left of the purple star?,yes,yes,CORRECT
2025-12-22 18:48:18,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00016_w.png,PRIMARY,right_of,Is the purple star right of the blue square?,yes,yes,CORRECT
2025-12-22 18:48:18,0,/home/kkarthikeyan/deep-learning/DeepLearningProject/Synthetic-Data/vlm_levels/level_0/images/00016_w.png,ADVANCED,overlapping,Is the purple star partially covering the blue square?,no,yes,INCORRECT
